provider_id,hospital_name,city,state,zip_code,hospital_type,hospital_ownership,hospital_overall_rating,patient_experience_national_comparison,address,Latitudes,Longitudes
010005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,3,Same as the national average,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",34.22159,-86.160495
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,Acute Care Hospitals,Proprietary,3,Same as the national average,"200 MED CENTER DRIVE
FORT PAYNE, AL
",34.4419753,-85.7550138
010032,WEDOWEE HOSPITAL,WEDOWEE,AL,36278,Acute Care Hospitals,Government - Hospital District or Authority,4,Not Available,"209 NORTH MAIN STREET
WEDOWEE, AL
",33.3166476,-85.487436
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,Acute Care Hospitals,Proprietary,3,Same as the national average,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
",34.6935825,-86.572207
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,86045,Acute Care Hospitals,Voluntary non-profit - Other,3,Below the national average,"PO BOX 600
TUBA CITY, AZ
",36.1349928,-111.2398625
040007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,Acute Care Hospitals,Voluntary non-profit - Private,2,Below the national average,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
",34.7504671,-92.3393722
040018,SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,72956,Acute Care Hospitals,Proprietary,3,Same as the national average,"EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
",35.4365325,-94.3381171
040050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,71701,Acute Care Hospitals,Voluntary non-profit - Private,4,Above the national average,"638 CALIFORNIA AVENUE
CAMDEN, AR
",33.5758644,-92.8362602
041328,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,Critical Access Hospitals,Voluntary non-profit - Private,3,Above the national average,"2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR
",35.5563801,-92.4494416
050054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,92220,Acute Care Hospitals,Government - Hospital District or Authority,2,Below the national average,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA
",33.9317494,-116.9459031
050103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,90033,Acute Care Hospitals,Voluntary non-profit - Church,3,Below the national average,"1720 E CESAR AVENUE
LOS ANGELES, CA
",34.0492579,-118.2172453
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,CA,90027,Acute Care Hospitals,Voluntary non-profit - Other,3,Below the national average,"4867 SUNSET BLVD
LOS ANGELES, CA
",34.0983411,-118.2945908
